City,type,room_number,Area,Street,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator,condition,entranceDate,furniture,description,hasAirCondition,hasParking,hasBalcony,hasBars,hasMamad,hasStorage,handicapFriendly
פתח תקווה,דירת גן,5 חד׳,"120 מ""ר",עין גנים ,1,עין גנים ,"4,900,000",0,קומת קרקע,יש מעלית,משופץ,לא צויין,"למכירה, דירת גן, 122 בנוי פלוס 122 חצר.תקרה גבוהה 4 מטר,מזגן תדיראן בכל חדר,מיני מרכזי סלון מטבח.מטבח ענק עם אי ענק הכולל אינדוקציה (יש גם נקודת גז).חצר 120 מטר 30 מטר מרוצף עם פרגולה.2 נקודות גז.","למכירה, דירת גן, 122 בנוי פלוס 122 חצר. תקרה גבוהה 4 מטר,מזגן תדיראן בכל חדר,מיני מרכזי סלון מטבח. מטבח ענק עם אי ענק הכולל אינדוקציה (יש גם נקודת גז). חצר 120 מטר 30 מטר מרוצף עם פרגולה. 2 נקודות גז בחצר,2 נקודות מים חמים וקרים. פרקטים בכל החדרים,ריצוף 80/80,יחידת מתבגר עם שירותים ומקלחת. ארון ענק של 3.3/3.3 בחדר הורים פלוס ארון נוסףקרא עוד",יש מיזוג אויר,אין חניה,אין מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,2 חד׳,"36 מ""ר",סולד הנריטה ,5,אחדות ,"1,600,000",0,קומה 2 מתוך 4,אין מעלית,שמור,לא צויין,ראו בתמונות,"למכירה ברח' הנרייטה סואלד בפתח תקווה דירת 2 חדרים חזיתית 36 מ""ר בקומה שנייה מטופחת ושמורה. 2 כיווני אוויר. ארון קיר גדול בחדר שינה. מטבח מסודר. מרפסת מרווחת. דוד מים חשמלי + דוד שמש. מול בית כנסת. בסמיכות למרכז מסחרי. הליך של פינוי בינוי למתחם אושר ונמצא בעיצומו. מתוכננים 10 מגדלים. כל דייר יקבל תוספת של חדר + מרפסת שמש + חנייה תת קרקעית.קרא עוד",אין מיזוג אויר,אין חניה,אין מרפסת,אין סורגים,אין ממ״ד,אין מחסן,לא נגיש לנכים
פתח תקווה,דירה,5 חד׳,"124 מ""ר",סנה משה ,,אם המושבות החדשה ,"3,420,000",6,קומה 9 מתוך 21,יש מעלית,שמור,מיידי,לא צויין,"בשכונת אם המושבות, דירת 5 חד', כ-124 מ""ר + כ-13 מ""ר מרפסת שמש, כ""א צפון-מערב, קומה 9, ממ""ד, מחסן, מזגן מרכזי, יח' הורים, חדר ארונות, 2 מקלחות, 3 שירותים. 3 מעליות בבניין, 2 חניות עוקבות. מיידי! לתיאום- ליטל נס נדל""ן",יש מיזוג אויר,יש חנייה,יש מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,4 חד׳,"86 מ""ר",טרומפלדור ,,כפר גנים א ,"2,140,000",5,קומה 2 מתוך 7,יש מעלית,שמור,לא צויין,מעוניינים לקנות נכס אבל עדיין לא מכרתם את שלכם? צרו קשר עוד היום וקבלו ייעוץ והערכת שווי לנכס שלכם ללא עלות וללא התחייבות,"למכירה! הדירה הכי אטרקטיבית בשכונה!בכפר גנים א' המבוקש,דירת 4 חדרים עם מרפסת שמש מפנקת וממ""דחניה תת- קרקעית ומחסן ענק בטאבו.הבניין עובר בימים אלה חידוש ושיפוץ חיצוני (העלויות כבר שולמו ע""י בעלי הנכס),מתאימה למגורים והשקעה כאחד.נמצאת בקרבה למרכזי קניות, בתי ספר, בתי כנסת, גני ילדים ושירותים קהילתיים נוספים.",יש מיזוג אויר,יש חנייה,יש מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,4 חד׳,"94 מ""ר",מנחת שלמה ,9,גני הדר ,"2,580,000",12,קומה 2 מתוך 4,יש מעלית,משופץ,גמיש,חלקי,"דירה יפיפיה ומשופצת, אינסטלציה חדשה, מטבח ענק עם המון מקומות אחסון.
מרפסת סוכה גדולה עם מחסן פרקטי.
הדירה מחולקת בצורה מאד נכונה (בשונה מדירות אחרות באזור) שכנים מאד נחמדים.
 הדירה שופצה לפני שנה.

דירה עורפית, תוכלו לראות את הילדים משחקים בגינה ולשמור עליהם מהבית (:
מיקום מעולה במרכז השכונה, קרובה למוסדות חינוך, מרכזי קניות ובתי כנסת.

ללא תיווך - מתווכים נא לא לפנות!",יש מיזוג אויר,אין חניה,יש מרפסת,יש סורגים,יש ממ״ד,אין מחסן,נגיש לנכים
פתח תקווה,דירה,4.5 חד׳,"127 מ""ר",דנקנר מאיר ,3,נווה גן ,"3,620,000",5,קומה 1 מתוך 28,יש מעלית,משופץ,גמיש,ללא,"***למכירה בפתח תקוה***
*אחת הדירות היפות והמושקעות בעיר.
*פרויקט של חברת תדהר בשכונת נווה גן.
*דירה 4,5 חדרים 123 מי
*מרפסת שמש 16 מי
*חלונות מבודדים( חלונות עם זיגוג כפול) בכל הבית.
*טריסים חשמליים ורשתות בכל הבית.
*מזגן מיני מרכזי עם דמפרים בכל החדרים שמאפשר שליטה בטמפרטורה  בכל חדר בנפרד. 
בנוסף מזגן נפרד ביחידת ההורים. 
*חימום מיים בגז. 
*מטבח אביבי משודרג. 
*דלתות חברת חמדיה. 
*מחסן ו2 חניות. 
לפרטים נוספים נא להתקשר לבוריס.",יש מיזוג אויר,יש חנייה,יש מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,3 חד׳,"55 מ""ר",טבריה ,,עמישב ,"1,785,000",5,קומת קרקע,אין מעלית,משופץ,גמיש,לא צויין,"למשקיעים ולזוגות צעירים זו ההזדמנות שלכם לשכפל את הכסף שלכם,חדשה בשוק!!!דירת 3 חד' משופצת מהיסוד ברחוב טבריה המבוקש בבנין שאמור לעבור בשנים הקרובות פינוי בינוי(מדברים על זה מאוד מאוד רציני יש חברות במשא ומתן) הדירה בקומת קרקע  יש חצר לדירה אבל לא בטאבו,בנין עם שכנים טובים, כל הקודם זוכה!!!!",יש מיזוג אויר,אין חניה,אין מרפסת,יש סורגים,אין ממ״ד,אין מחסן,לא נגיש לנכים
פתח תקווה,דירה,6 חד׳,"152 מ""ר",ראשון לציון ,,אם המושבות החדשה ,"4,290,000",6,קומה 3 מתוך 18,יש מעלית,משופץ,גמיש,לא צויין,"למכירה ברחוב ראשון לציון באם במושבות פ""ת, 
דירת 6 חדרים גדולה ומרווחת בבניין בן 3 שנים!
20 מ""ר של מרפסת ענקית,
2 חניות מקבילות תת קרקעיות,
מחסן פרטי צמוד לדירה,
3 חדרי שרותים, 2 חדרי רחצה,
בניין חדש ומפואר במיקום מצויין


",יש מיזוג אויר,יש חנייה,יש מרפסת,יש סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,פנטהאוז,6 חד׳,"160 מ""ר",גיסין אבשלום ,23,נווה גן ,"4,800,000",2,קומה 14 מתוך 14,יש מעלית,חדש,מיידי,לא צויין,"מציאה!!! למהירי החלטה  פנטאוז פצצה!  עם נוף פתוח לכל הכיוונים, כולל יחידת הורים+חדר ארונות, מחסן צמוד, שתי חניות מקורות,  שני מזגנים מרכזים לשני חלקי הבית , ועוד ...",יש מיזוג אויר,יש חנייה,יש מרפסת,אין סורגים,יש ממ״ד,יש מחסן,נגיש לנכים
פתח תקווה,דירה,4 חד׳,"110 מ""ר",סנה משה ,35,אם המושבות החדשה ,"3,160,000",0,קומה 6 מתוך 9,יש מעלית,שמור,לא צויין,לא צויין,"ללא תיווך! דירת 4 חדרים במיקום מרכזי באם המושבות החדשה. דירה מרווחת 110 מ״ר + מרפסת 12 מ״ר. עם נוף לפארק. מיזוג מיני מרכזי, מטבח ענק עם אי גדול. חניה מקורה ומחסן בקומה. בניין מטופח עם חדר דיירים ענק וחדר אופניים",יש מיזוג אויר,אין חניה,אין מרפסת,אין סורגים,יש ממ״ד,יש מחסן,לא נגיש לנכים
